Date,Open
8/2/13,15627.55957
8/1/13,15503.84961
7/31/13,15528.57031
7/30/13,15534.49023
7/29/13,15557.13965
7/26/13,15547.84961
7/25/13,15539.16992
7/24/13,15576.69043
7/23/13,15547
7/22/13,15543.96973
7/19/13,15524.26953
7/18/13,15465.91016
7/17/13,15456.91992
7/16/13,15485.03027
7/15/13,15459.69043
7/12/13,15460.69043
7/11/13,15298
7/10/13,15298.03027
7/9/13,15228.45996
7/8/13,15137.21973
7/5/13,14995.45996
7/3/13,14923.73047
7/2/13,14974.95996
7/1/13,14911.59961
6/28/13,15016.58008
6/27/13,14921.28027
6/26/13,14769.99023
6/25/13,14669.69043
6/24/13,14795.79004
6/21/13,14760.62012
6/20/13,15105.50977
6/19/13,15315.46973
6/18/13,15186.29981
6/17/13,15078.70996
6/14/13,15178.08008
6/13/13,14992.54004
6/12/13,15130.38965
6/11/13,15231.37988
6/10/13,15247.80957
6/7/13,15044.45996
6/6/13,14955.4502
6/5/13,15168.09961
6/4/13,15255.21973
6/3/13,15123.54981
5/31/13,15322.21973
5/30/13,15306.01953
5/29/13,15399.94043
5/28/13,15307.33008
5/24/13,15290.74023
5/23/13,15300.57031
5/22/13,15387.12012
5/21/13,15334.96973
5/20/13,15348.33008
5/17/13,15234.75
5/16/13,15273.91992
5/15/13,15211.87012
5/14/13,15091.67969
5/13/13,15113.41992
5/10/13,15082.62012
5/9/13,15105.12012
5/8/13,15056.2002
5/7/13,14968.88965
5/6/13,14973.95996
5/3/13,14831.58008
5/2/13,14700.9502
5/1/13,14839.79981
4/30/13,14818.75
4/29/13,14712.54981
4/26/13,14700.79981
4/25/13,14676.29981
4/24/13,14719.45996
4/23/13,14567.16992
4/22/13,14547.50977
4/19/13,14537.13965
4/18/13,14618.58984
4/17/13,14756.78027
4/16/13,14599.2002
4/15/13,14865.05957
4/12/13,14865.13965
4/11/13,14802.24023
4/10/13,14673.45996
4/9/13,14613.48047
4/8/13,14565.25
4/5/13,14606.11035
4/4/13,14550.34961
4/3/13,14662.00977
4/2/13,14572.84961
4/1/13,14578.54004
3/28/13,14526.16016
3/27/13,14559.65039
3/26/13,14447.75
3/25/13,14512.03027
3/22/13,14421.49023
3/21/13,14511.73047
3/20/13,14455.82031
3/19/13,14452.05957
3/18/13,14514.11035
3/15/13,14539.13965
3/14/13,14455.28027
3/13/13,14450.05957
3/12/13,14447.29004
3/11/13,14397.07031
3/8/13,14329.49023
3/7/13,14296.24023
3/6/13,14253.76953
3/5/13,14127.82031
3/4/13,14089.66016
3/1/13,14054.49023
2/28/13,14075.37012
2/27/13,13900.12988
2/26/13,13784.16992
2/25/13,14000.57031
2/22/13,13880.62012
2/21/13,13927.54004
2/20/13,14035.66992
2/19/13,13981.75977
2/15/13,13973.38965
2/14/13,13982.91016
2/13/13,14018.7002
2/12/13,13971.24023
2/11/13,13992.96973
2/8/13,13944.04981
2/7/13,13986.51953
2/6/13,13979.29981
2/5/13,13880.08008
2/4/13,14009.79004
2/1/13,13860.58008
1/31/13,13910.41992
1/30/13,13954.41992
1/29/13,13881.92969
1/28/13,13895.98047
1/25/13,13825.33008
1/24/13,13779.33008
1/23/13,13712.20996
1/22/13,13649.7002
1/18/13,13596.01953
1/17/13,13511.23047
1/16/13,13534.88965
1/15/13,13507.32031
1/14/13,13488.42969
1/11/13,13471.4502
1/10/13,13391.82031
1/9/13,13329.91992
1/8/13,13377.41992
1/7/13,13436.12988
1/4/13,13391.04981
1/3/13,13413.00977
1/2/13,13104.29981
12/31/12,12938.19043
12/28/12,13095.08008
12/27/12,13114.96973
12/26/12,13138.84961
12/24/12,13190.15039
12/21/12,13309.9502
12/20/12,13246.66992
12/19/12,13351.04004
12/18/12,13236.61035
12/17/12,13135.16992
12/14/12,13170.79981
12/13/12,13241.37988
12/12/12,13250.04981
12/11/12,13170.33984
12/10/12,13154.88965
12/7/12,13072.87012
12/6/12,13026.19043
12/5/12,12948.95996
12/4/12,12966.4502
12/3/12,13027.73047
11/30/12,13022.04981
11/29/12,12977.34961
11/28/12,12875.55957
11/27/12,12963.37988
11/26/12,13008.4502
11/23/12,12833.12988
11/21/12,12788.36035
11/20/12,12790.88965
11/19/12,12590.23047
11/16/12,12542.30957
11/15/12,12571.09961
11/14/12,12746.54004
11/13/12,12808.70996
11/12/12,12815.92969
11/9/12,12811.16992
11/8/12,12932.80957
11/7/12,13228.24023
11/6/12,13112.90039
11/5/12,13092.28027
11/2/12,13232.62012
11/1/12,13099.19043
10/31/12,13107.44043
10/26/12,13104.21973
10/25/12,13079.63965
10/24/12,13103.53027
10/23/12,13344.90039
10/22/12,13344.28027
10/19/12,13545.33008
10/18/12,13553.24023
10/17/12,13539.62988
10/16/12,13423.83984
10/15/12,13329.54004
10/12/12,13325.62012
10/11/12,13346.28027
10/10/12,13473.53027
